x0000,y0000,y_tun
0.000000361,1.55E-07,0.1545
0.000000362,1.54E-07,0.1536
0.000000363,1.53E-07,0.1527
0.000000364,1.52E-07,0.1518
0.000000365,1.51E-07,0.1509
0.000000366,0.00000015,0.15
0.000000367,1.49E-07,0.1491
0.000000368,1.48E-07,0.1482
0.000000369,1.47E-07,0.1473
0.00000037,1.47E-07,0.1465
0.000000371,1.46E-07,0.1456
0.000000372,1.45E-07,0.1448
0.000000373,1.44E-07,0.1439
0.000000374,1.43E-07,0.1431
0.000000375,1.42E-07,0.1422
0.000000376,1.41E-07,0.1414
0.000000377,1.41E-07,0.1405
0.000000378,1.40E-07,0.1397
0.000000379,1.39E-07,0.1389
0.00000038,1.38E-07,0.1381
0.000000381,1.37E-07,0.1373
0.000000382,1.37E-07,0.1365
0.000000383,1.36E-07,0.1356
0.000000384,1.35E-07,0.1348
0.000000385,1.34E-07,0.1341
0.000000386,1.33E-07,0.1333
0.000000387,1.33E-07,0.1325
0.000000388,1.32E-07,0.1317
0.000000389,1.31E-07,0.1309
0.00000039,1.30E-07,0.1302
0.000000391,1.29E-07,0.1294
0.000000392,1.29E-07,0.1286
0.000000393,1.28E-07,0.1279
0.000000394,1.27E-07,0.1271
0.000000395,1.26E-07,0.1264
0.000000396,1.26E-07,0.1256
0.000000397,1.25E-07,0.1249
0.000000398,1.24E-07,0.1241
0.000000399,1.23E-07,0.1234
0.0000004,1.23E-07,0.1227
0.000000401,0.000000122,0.122
0.000000402,1.21E-07,0.1212
0.000000403,1.21E-07,0.1205
0.000000404,1.20E-07,0.1198
0.000000405,1.19E-07,0.1191
0.000000406,1.18E-07,0.1184
0.000000407,1.18E-07,0.1177
0.000000408,0.000000117,0.117
0.000000409,1.16E-07,0.1163
0.00000041,1.16E-07,0.1156
0.000000411,0.000000115,0.115
0.000000412,1.14E-07,0.1143
0.000000413,1.14E-07,0.1136
0.000000414,1.13E-07,0.1129
0.000000415,1.12E-07,0.1123
0.000000416,1.12E-07,0.1116
0.000000417,0.000000111,0.111
0.000000418,1.10E-07,0.1103
0.000000419,1.10E-07,0.1097
0.00000042,0.000000109,0.109
0.000000421,1.08E-07,0.1084
0.000000422,1.08E-07,0.1077
0.000000423,1.07E-07,0.1071
0.000000424,1.07E-07,0.1065
0.000000425,1.06E-07,0.1058
0.000000426,1.05E-07,0.1052
0.000000427,1.05E-07,0.1046
0.000000428,0.000000104,0.104
0.000000429,1.03E-07,0.1034
0.00000043,1.03E-07,0.1028
0.000000431,1.02E-07,0.1022
0.000000432,1.02E-07,0.1016
0.000000433,0.000000101,0.101
0.000000434,1.00E-07,0.1004
0.000000435,9.98E-08,0.0998
0.000000436,9.92E-08,0.0992
0.000000437,9.86E-08,0.0986
0.000000438,0.000000098,0.098
0.000000439,9.74E-08,0.0974
0.00000044,9.69E-08,0.0969
0.000000441,9.63E-08,0.0963
0.000000442,9.57E-08,0.0957
0.000000443,9.52E-08,0.0952
0.000000444,9.46E-08,0.0946
0.000000445,0.000000094,0.094
0.000000446,9.35E-08,0.0935
0.000000447,9.29E-08,0.0929
0.000000448,9.24E-08,0.0924
0.000000449,9.18E-08,0.0918
0.00000045,9.13E-08,0.0913
0.000000451,9.08E-08,0.0908
0.000000452,9.02E-08,0.0902
0.000000453,8.97E-08,0.0897
0.000000454,8.92E-08,0.0892
0.000000455,8.86E-08,0.0886
0.000000456,8.81E-08,0.0881
0.000000457,8.76E-08,0.0876
0.000000458,8.71E-08,0.0871
0.000000459,8.66E-08,0.0866
0.00000046,8.61E-08,0.0861
0.000000461,8.56E-08,0.0856
0.000000462,8.51E-08,0.0851
0.000000463,8.46E-08,0.0846
0.000000464,8.41E-08,0.0841
0.000000465,8.36E-08,0.0836
0.000000466,8.31E-08,0.0831
0.000000467,8.26E-08,0.0826
0.000000468,8.21E-08,0.0821
0.000000469,8.16E-08,0.0816
0.00000047,8.11E-08,0.0811
0.000000471,8.07E-08,0.0807
0.000000472,8.02E-08,0.0802
0.000000473,7.97E-08,0.0797
0.000000474,7.92E-08,0.0792
0.000000475,7.88E-08,0.0788
0.000000476,7.83E-08,0.0783
0.000000477,7.78E-08,0.0778
0.000000478,7.74E-08,0.0774
0.000000479,7.69E-08,0.0769
0.00000048,7.65E-08,0.0765
0.000000481,0.000000076,0.076
0.000000482,7.56E-08,0.0756
0.000000483,7.51E-08,0.0751
0.000000484,7.47E-08,0.0747
0.000000485,7.42E-08,0.0742
0.000000486,7.38E-08,0.0738
0.000000487,7.34E-08,0.0734
0.000000488,7.29E-08,0.0729
0.000000489,7.25E-08,0.0725
0.00000049,7.21E-08,0.0721
0.000000491,7.17E-08,0.0717
0.000000492,7.12E-08,0.0712
0.000000493,7.08E-08,0.0708
0.000000494,7.04E-08,0.0704
0.000000495,0.00000007,0.07
0.000000496,6.96E-08,0.0696
0.000000497,6.92E-08,0.0692
0.000000498,6.88E-08,0.0688
0.000000499,6.84E-08,0.0684
0.0000005,0.000000068,0.068
